Time,30/12/2018 23:42:00,
1,btc,  0.16639198
2,eth,  1.92856882
3,bnb,  45.40160368
4,gas,  0.10515390
5,usdt,  110.33416572
6,yoyo,  0.66200000
7,strat,  1.00000000
8,fun,  19.99000000
9,knc,  1.00000000
10,iota,  0.91500000
11,nuls,  3.00000000
12,adx,  1.03000000
13,bat,  0.20000000
14,powr,  0.93000000
15,req,  0.97200000
16,mod,  7.03000000
17,storj,  5.00000000
18,dlt,  0.90000000
19,rdn,  1.80000000
20,bts,  37.00000000
21,xzc,  0.00300000
22,tnb,  1.00000000
23,ada,  0.96000000
24,cmt,  0.30000000
25,wabi,  0.10000000
26,aion,  0.00847081
27,appc,  0.90000000
28,ins,  6.14000000
29,blz,  0.20000000
30,sys,  0.30000000
31,poa,  0.50000000
32,theta,  1.30000000
33,agi,  0.30000000
34,ardr,  0.30000000
35,vet,  18.00000000
36,dock,  1.00000000
37,poly,  1.30000000
38,vtho,  0.07776000
39,phx,  0.61100000
40,dcr,  0.24600000
41,mith,  1.60000000
42,ren,  0.70000000
