percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-0.1674341085271317829458116500%,-0.1674341085271317829458116500%,ada,buy-ada_usdt,0.0000112388176140811269970550,0.0000112388176140811269970550,sell-ada_btc,0.00001122,0.00001122,100.00%,0.00%,30/12/2018 23:43:01,
-0.2830653120627605870783003700%,-0.2830653120627605870783003700%,adx,buy-adx_eth,0.0000266855375000,0.0000266855375000,sell-adx_btc,0.00002661,0.00002661,100.00%,0.00%,30/12/2018 23:43:01,
-0.1788857292216987763161278100%,-0.1788857292216987763161278100%,ae,buy-ae_bnb,0.0001048876290000,0.0001048876290000,sell-ae_btc,0.00010470,0.00010470,100.00%,0.00%,30/12/2018 23:43:01,
-0.1044727339012816981597220300%,-0.1044727339012816981597220300%,agi,buy-agi_eth,0.0000124530100000,0.0000124530100000,sell-agi_btc,0.00001244,0.00001244,100.00%,0.00%,30/12/2018 23:43:01,
-0.4770126582278481012658227800%,-0.4770126582278481012658227800%,aion,buy-aion_btc,0.00003950,0.00003950,sell-aion_bnb,0.0000393115800000,0.0000393115800000,100.00%,0.00%,30/12/2018 23:43:01,
-0.7061496810553723789741503400%,-0.7061496810553723789741503400%,amb,buy-amb_bnb,0.0000183092910000,0.0000183092910000,sell-amb_btc,0.00001818,0.00001818,100.00%,0.00%,30/12/2018 23:43:01,
-0.3720498251748251748251748300%,-0.3720498251748251748251748300%,appc,buy-appc_btc,0.00001144,0.00001144,sell-appc_eth,0.0000113974375000,0.0000113974375000,100.00%,0.00%,30/12/2018 23:43:01,
-0.2915957047433598153516572600%,-0.2915957047433598153516572600%,ardr,buy-ardr_eth,0.0000141111475000,0.0000141111475000,sell-ardr_btc,0.00001407,0.00001407,100.00%,0.00%,30/12/2018 23:43:01,
-0.6514222000309591397549106900%,-0.6514222000309591397549106900%,ark,buy-ark_eth,0.0001073996250000,0.0001073996250000,sell-ark_btc,0.00010670,0.00010670,100.00%,0.00%,30/12/2018 23:43:01,
-0.3667782426103231902205374800%,-0.3667782426103231902205374800%,arn,buy-arn_eth,0.0000743828200000,0.0000743828200000,sell-arn_btc,0.00007411,0.00007411,100.00%,0.00%,30/12/2018 23:43:01,
-0.545963364993215739484396200%,-0.545963364993215739484396200%,ast,buy-ast_btc,0.00000737,0.00000737,sell-ast_eth,0.0000073297625000,0.0000073297625000,100.00%,0.00%,30/12/2018 23:43:01,
-0.316131615598885793871866300%,-0.316131615598885793871866300%,bat,buy-bat_btc,0.00003590,0.00003590,sell-bat_eth,0.0000357865087500,0.0000357865087500,100.00%,0.00%,30/12/2018 23:43:01,
-0.3189834024896265560165975100%,-0.3189834024896265560165975100%,bcd,buy-bcd_btc,0.00024100,0.00024100,sell-bcd_eth,0.0002402312500000,0.0002402312500000,100.00%,0.00%,30/12/2018 23:43:01,
-0.0640908546526210183094993400%,-0.0640908546526210183094993400%,bch,buy-bch_usdt,0.0421039848037035032532377245,0.0421039848037035032532377245,sell-bch_btc,0.04207700,0.04207700,100.00%,0.00%,30/12/2018 23:43:01,
-0.0828649496912874456894516500%,-0.0828649496912874456894516500%,bchsv,buy-bchsv_usdt,0.0230901336276141735297728329,0.0230901336276141735297728329,sell-bchsv_btc,0.02307100,0.02307100,100.00%,0.00%,30/12/2018 23:43:01,
-0.0588621292441640243913282400%,-0.0588621292441640243913282400%,bcpt,buy-bcpt_bnb,0.0000084349650000,0.0000084349650000,sell-bcpt_btc,0.00000843,0.00000843,100.00%,0.00%,30/12/2018 23:43:01,
-0.8860038491359517829227839200%,-0.8860038491359517829227839200%,blz,buy-blz_eth,0.0000119559300000,0.0000119559300000,sell-blz_btc,0.00001185,0.00001185,100.00%,0.00%,30/12/2018 23:43:01,
-0.1118830818980127744432881100%,-0.1118830818980127744432881100%,bnb,buy-bnb_btc,0.00154800,0.00154800,sell-bnb_usdt,0.0015462680498922187622516179,0.0015462680498922187622516179,100.00%,0.00%,30/12/2018 23:43:01,
-0.088889217834093196755284500%,-0.088889217834093196755284500%,bnt,buy-bnt_btc,0.00016889,0.00016889,sell-bnt_eth,0.0001687398750000,0.0001687398750000,100.00%,0.00%,30/12/2018 23:43:01,
-0.6016794128666828289952174200%,-0.6016794128666828289952174200%,bqx,buy-bqx_eth,0.0000317611000000,0.0000317611000000,sell-bqx_btc,0.00003157,0.00003157,100.00%,0.00%,30/12/2018 23:43:01,
-0.2359515778699073669018179700%,-0.2359515778699073669018179700%,brd,buy-brd_eth,0.0000541477625000,0.0000541477625000,sell-brd_btc,0.00005402,0.00005402,100.00%,0.00%,30/12/2018 23:43:01,
-0.7939181603725954189148659300%,-0.7939181603725954189148659300%,btg,buy-btg_eth,0.0035713536250000,0.0035713536250000,sell-btg_btc,0.00354300,0.00354300,100.00%,0.00%,30/12/2018 23:43:01,
-0.3199482623850734944023057900%,-0.3199482623850734944023057900%,bts,buy-bts_eth,0.0000103097137500,0.0000103097137500,sell-bts_bnb,0.0000102767280000,0.0000102767280000,100.00%,0.00%,30/12/2018 23:43:01,
-0.7756717360584701029512614700%,-0.7756717360584701029512614700%,cdt,buy-cdt_eth,0.0000020761037500,0.0000020761037500,sell-cdt_btc,0.00000206,0.00000206,100.00%,0.00%,30/12/2018 23:43:01,
-0.7334026047393747414932359500%,-0.7334026047393747414932359500%,cloak,buy-cloak_eth,0.0003097718750000,0.0003097718750000,sell-cloak_btc,0.00030750,0.00030750,100.00%,0.00%,30/12/2018 23:43:01,
-0.4826189926136924704072279800%,-0.4826189926136924704072279800%,cmt,buy-cmt_eth,0.0000068229287500,0.0000068229287500,sell-cmt_btc,0.00000679,0.00000679,100.00%,0.00%,30/12/2018 23:43:01,
-0.8901399602760057125398559800%,-0.8901399602760057125398559800%,cnd,buy-cnd_bnb,0.0000026233515000,0.0000026233515000,sell-cnd_btc,0.00000260,0.00000260,100.00%,0.00%,30/12/2018 23:43:01,
-0.2025445893064322655497217500%,-0.2025445893064322655497217500%,cvc,buy-cvc_bnb,0.0000142388400000,0.0000142388400000,sell-cvc_btc,0.00001421,0.00001421,100.00%,0.00%,30/12/2018 23:43:01,
-0.2038615606159702172678707500%,-0.2038615606159702172678707500%,dash,buy-dash_eth,0.0210749637500000,0.0210749637500000,sell-dash_btc,0.02103200,0.02103200,100.00%,0.00%,30/12/2018 23:43:01,
-1.00294438084896748676174900%,-1.00294438084896748676174900%,data,buy-data_eth,0.0000047981225000,0.0000047981225000,sell-data_btc,0.00000475,0.00000475,100.00%,0.00%,30/12/2018 23:43:01,
-0.5754719309068476249228871100%,-0.5754719309068476249228871100%,dcr,buy-dcr_btc,0.00486300,0.00486300,sell-dcr_bnb,0.0048350148000000,0.0048350148000000,100.00%,0.00%,30/12/2018 23:43:01,
-0.9347513816064137672391222800%,-0.9347513816064137672391222800%,dent,buy-dent_eth,0.0000003533025000,0.0000003533025000,sell-dent_btc,0.00000035,0.00000035,100.00%,0.00%,30/12/2018 23:43:01,
-0.7056180566457375831984722900%,-0.7056180566457375831984722900%,dgd,buy-dgd_eth,0.0051835762500000,0.0051835762500000,sell-dgd_btc,0.00514700,0.00514700,100.00%,0.00%,30/12/2018 23:43:01,
-0.1341904008438818565400843900%,-0.1341904008438818565400843900%,dlt,buy-dlt_btc,0.00000948,0.00000948,sell-dlt_eth,0.0000094672787500,0.0000094672787500,100.00%,0.00%,30/12/2018 23:43:01,
